,State,Total Winter All Loss,Beekeepers,Beekeepers Exclusive to State,Colonies,Colonies Exclusive to State,year
476,Idaho,25.9%,34,88.2%,11099,7.6%,2017
477,Nevada,26.1%,16,93.8%,157,72%,2017
478,Texas,26.6%,101,87.1%,35425,4.7%,2017
479,New York,27.9%,154,94.8%,5947,37.9%,2017
480,Georgia,30.9%,150,92%,6525,22.8%,2017
481,Wyoming,33.3%,9,77.8%,69,84.8%,2017
482,Maryland,33.6%,152,92.8%,3446,23.9%,2017
483,Kentucky,34.4%,112,95.5%,3167,48.4%,2017
484,Utah,35.3%,163,98.8%,747,87.1%,2017
485,Mississippi,36.8%,12,83.3%,9556,16.1%,2017
486,Alabama,37.9%,65,95.4%,1892,98.9%,2017
487,Delaware,38.7%,26,92.3%,719,15.9%,2017
488,New Jersey,38.8%,77,94.8%,685,95.1%,2017
489,Iowa,40.7%,91,96.7%,1212,70%,2017
490,Montana,41.2%,22,90.9%,6880,8.8%,2017
491,West Virginia,41.8%,60,90%,1580,39.1%,2017
492,North Carolina,42.2%,258,98.8%,2665,90.1%,2017
493,Minnesota,44%,101,96%,9814,40.5%,2017
494,New Mexico,44.2%,18,94.4%,129,95.7%,2017
495,Maine,46%,78,100%,593,100%,2017
496,Pennsylvania,46.7%,607,98%,5490,90.5%,2017
497,New Hampshire,51.2%,52,98.1%,668,41.5%,2017
498,Rhode Island,51.2%,19,89.5%,82,87.2%,2017
499,Ohio,51.9%,211,98.6%,2286,95.3%,2017
500,Vermont,53.3%,57,94.7%,877,52%,2017
501,Illinois,53.5%,120,98.3%,1229,98.1%,2017
502,Connecticut,54.3%,49,98%,560,90.6%,2017
503,District of Columbia,57.1%,10,90%,21,95.2%,2017
504,Massachusetts,58.8%,100,97%,1710,99.1%,2017
505,Virginia,59.5%,551,98.9%,4479,97.8%,2017
506,Louisiana,60.5%,13,84.6%,4866,3.3%,2017
507,Tennessee,65%,80,96.3%,1880,93.8%,2017
508,Arizona,71.9%,6,83.3%,1237,7.6%,2017
509,Indiana,11.8%,122,95.9%,18436,8.1%,2018
510,South Carolina,11.8%,41,85.4%,5311,13.8%,2018
511,Nebraska,13.6%,17,76.5%,11696,1.4%,2018
512,New York,14.4%,134,95.5%,7553,18.6%,2018
513,Florida,17.6%,37,86.5%,18320,27.5%,2018
514,Colorado,17.7%,132,95.5%,2981,20.5%,2018
515,Wisconsin,19.6%,121,87.6%,23000,9.6%,2018
516,Alabama,21.9%,75,98.7%,2140,94.9%,2018
517,Vermont,22.2%,49,98%,1497,97.7%,2018
518,Oklahoma,23.2%,72,93.1%,5728,10.6%,2018
519,North Carolina,24.1%,201,99%,1937,93.7%,2018
520,Maryland,24.9%,193,95.8%,2981,30.4%,2018
521,North Dakota,25.4%,19,10.5%,125725,0%,2018
522,Massachusetts,25.6%,100,99%,1655,99.9%,2018
523,Arkansas,26.4%,47,97.9%,492,96.2%,2018
524,Ohio,27.1%,186,98.9%,1711,98.9%,2018
525,Missouri,27.4%,91,92.3%,638,89.2%,2018
526,Kentucky,27.9%,95,99%,1041,99.5%,2018
527,Rhode Island,29.2%,16,100%,65,100%,2018
528,Michigan,29.4%,223,96%,23533,9.4%,2018
529,Oregon,29.6%,112,91.1%,63236,2.2%,2018
530,Georgia,29.6%,90,94.4%,8065,12.4%,2018
531,Washington,30.2%,134,93.3%,48685,3.3%,2018
532,MultiStateOperation,30.4%,120,0%,264848,0%,2018
533,California,30.8%,144,56.9%,276535,8.9%,2018
534,West Virginia,32%,41,100%,390,100%,2018
535,Idaho,32.3%,32,65.6%,77250,1.6%,2018
536,Virginia,32.5%,621,98.2%,4426,90.6%,2018
537,District of Columbia,33.5%,11,54.5%,301,13.6%,2018
538,Maine,35.2%,71,100%,460,100%,2018
539,South Dakota,35.4%,14,50%,53017,0.1%,2018
540,Connecticut,36.8%,36,100%,190,100%,2018
541,New Jersey,36.9%,66,92.4%,749,86.5%,2018
542,Kansas,38.1%,30,90%,758,48.4%,2018
543,New Hampshire,38.1%,43,100%,333,100%,2018
544,Montana,39%,26,76.9%,40427,0.2%,2018
545,Minnesota,39.3%,108,88.9%,27012,2.4%,2018
546,Utah,40.5%,116,97.4%,1643,35.6%,2018
547,New Mexico,41.9%,20,95%,117,98.3%,2018
548,Pennsylvania,43.4%,674,98.2%,6300,92.1%,2018
549,Tennessee,45.3%,68,95.6%,1164,95.2%,2018
550,Texas,46.2%,140,83.6%,142475,28.1%,2018
551,Delaware,46.8%,15,93.3%,126,85.7%,2018
552,Illinois,54.6%,108,96.3%,951,96.5%,2018
553,,56%,5,80%,352,3.4%,2018
554,Iowa,61.8%,83,96.4%,857,97.2%,2018
555,Louisiana,62.8%,8,87.5%,13102,0.7%,2018
556,Nevada,65.5%,15,100%,119,100%,2018
